pair_id,label,variation
similar/pair_01,similar,angle
similar/pair_02,similar,brightness
similar/pair_03,similar,size
similar/pair_04,similar,noise
similar/pair_05,similar,contrast
similar/pair_06,similar,combo(angle+brightness+noise)
similar/pair_07,similar,angle
similar/pair_08,similar,brightness
similar/pair_09,similar,size
similar/pair_10,similar,noise
dissimilar/pair_01,dissimilar,n/a
dissimilar/pair_02,dissimilar,n/a
dissimilar/pair_03,dissimilar,n/a
dissimilar/pair_04,dissimilar,n/a
dissimilar/pair_05,dissimilar,n/a
dissimilar/pair_06,dissimilar,n/a
dissimilar/pair_07,dissimilar,n/a
dissimilar/pair_08,dissimilar,n/a
dissimilar/pair_09,dissimilar,n/a
dissimilar/pair_10,dissimilar,n/a
